[ 2026-04-22 02:22:41,727 ] root - INFO - Initiate data ingestion
[ 2026-04-22 02:23:34,785 ] root - INFO - Performed train test split on the dataframe
[ 2026-04-22 02:23:34,785 ] root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-22 02:23:34,787 ] root - INFO - Exporting train and test file path.
[ 2026-04-22 02:23:34,939 ] root - INFO - Exported train and test file path.
[ 2026-04-22 02:23:34,941 ] root - INFO - Data initation completed
[ 2026-04-22 02:23:34,965 ] root - INFO - Initiate the data validation 
[ 2026-04-22 02:23:35,122 ] root - INFO - Required number of columns:2
[ 2026-04-22 02:23:35,124 ] root - INFO - Data frame has columns:31
[ 2026-04-22 02:23:35,124 ] root - INFO - Required number of columns:2
[ 2026-04-22 02:23:35,124 ] root - INFO - Data frame has columns:31
[ 2026-04-22 02:23:35,555 ] root - INFO - Data validation completed
