[ 2026-04-22 02:16:38,951 ] root - INFO - Initiate data ingestion
[ 2026-04-22 02:16:51,701 ] root - INFO - Performed train test split on the dataframe
[ 2026-04-22 02:16:51,701 ] root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-22 02:16:51,702 ] root - INFO - Exporting train and test file path.
[ 2026-04-22 02:16:51,876 ] root - INFO - Exported train and test file path.
[ 2026-04-22 02:16:51,878 ] root - INFO - Data initation completed
[ 2026-04-22 02:16:51,910 ] root - INFO - Initiate the data validation 
[ 2026-04-22 02:16:52,023 ] root - INFO - Required number of columns:2
[ 2026-04-22 02:16:52,025 ] root - INFO - Data frame has columns:31
[ 2026-04-22 02:16:52,025 ] root - INFO - Required number of columns:2
[ 2026-04-22 02:16:52,025 ] root - INFO - Data frame has columns:31
[ 2026-04-22 02:16:52,433 ] root - INFO - Data validation completed
