[ 2026-04-22 19:45:51,703 ] root - INFO - Initiate data ingestion
[ 2026-04-22 19:47:46,396 ] root - INFO - Performed train test split on the dataframe
[ 2026-04-22 19:47:46,396 ] root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-22 19:47:46,396 ] root - INFO - Exporting train and test file path.
[ 2026-04-22 19:47:46,443 ] root - INFO - Exported train and test file path.
[ 2026-04-22 19:47:46,443 ] root - INFO - Data initation completed
[ 2026-04-22 19:47:46,480 ] root - INFO - Initiate the data validation 
[ 2026-04-22 19:47:46,546 ] root - INFO - Required number of columns:2
[ 2026-04-22 19:47:46,546 ] root - INFO - Data frame has columns:31
[ 2026-04-22 19:47:46,546 ] root - INFO - Required number of columns:2
[ 2026-04-22 19:47:46,546 ] root - INFO - Data frame has columns:31
[ 2026-04-22 19:47:46,687 ] root - INFO - Data validation completed
[ 2026-04-22 19:47:46,687 ] root - INFO - Data Transformation started!
[ 2026-04-22 19:47:46,687 ] root - INFO - Entered the data transforamtion method of data transformation class
[ 2026-04-22 19:47:46,687 ] root - INFO - starting the data transformation
[ 2026-04-22 19:47:46,715 ] root - INFO - Entered get_data_trainsformer_object method of transformer class 
[ 2026-04-22 19:47:46,715 ] root - INFO - Initialize KNN imputer with params {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-22 19:47:46,731 ] root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-22 19:47:46,734 ] root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-22 19:47:46,734 ] root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-22 19:47:46,736 ] root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-22 19:47:46,738 ] root - INFO - Data Transformation completed!
[ 2026-04-22 19:47:46,738 ] root - INFO - Model Training stared
[ 2026-04-22 19:51:20,096 ] root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-22 19:51:20,096 ] root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-22 19:51:20,096 ] root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-22 19:51:20,145 ] root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-22 19:51:20,145 ] root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_22_2026_19_45_49\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9919609239849394, precision_score=0.9918599918599919, recall_score=0.9920618766537757), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9752, precision_score=0.9705414012738853, recall_score=0.979903536977492))
